siteID,site_group,site_num,Fluoride,Chloride,Nitrite,Bromide,NitrateN,PhosphateP,Sulfate,NH4N
Bg_2,Bg,2,,10.76,,0.05,0.1,0.03,42.04,0.01
Bg_3,Bg,3,,9.66,,0.05,0.14,0.1,41.74,0.01
Bg_4,Bg,4,,10.5,,0.05,0.13,0.02,43.51,0.02
Bg_5,Bg,5,.,9.8,.,0.05,0.03,0.08,41.64,0.03
Bg_6,Bg,6,.,13.9,.,0.05,0.07,0.03,44.97,0
Bg_7,Bg,7,.,12.75,.,0.04,0.06,0.02,45.48,0.01
Bg_8,Bg,8,.,13.76,.,0.05,0.16,0,43.4,0
Bg_9,Bg,9,.,16.65,.,0.06,0.03,0.01,44.02,0.04
Bg_10,Bg,10,.,13.62,.,0.06,0.09,0.04,45.9,0.01
Bg_11,Bg,11,.,13.27,.,0.05,0.11,0.03,44.24,0.02
Bg_12,Bg,12,.,6.56,.,0.04,0.1,0.05,39.17,0.03
Bg_13,Bg,13,.,9.51,.,0.04,0.06,0.03,44.8,0.07
Bg_14,Bg,14,.,6.95,.,0.07,0.1,0.05,39.84,0.02
Bg_15,Bg,15,.,5.68,.,0.05,0.14,0.03,39.84,0.01
Bg_16,Bg,16,.,5.22,.,0.01,0.06,0.02,40.73,0.03
Bg_17,Bg,17,.,6.83,.,0.03,0.13,0.03,41.09,0.01
Bg_18,Bg,18,.,5.93,.,0.03,0.04,0.04,39.15,0.03
Bg_19,Bg,19,.,15.86,.,0.07,0.02,0.02,110.77,0
Bg_20,Bg,20,.,13.88,.,0.05,0.09,0.02,70.76,0.01
Bg_21,Bg,21,.,14.62,.,0.06,0.02,0.02,79.37,0
Bg_22,Bg,22,.,9.94,.,0.04,0.12,0.03,67.83,0
Bg_23,Bg,23,.,11.07,.,0.04,0.29,0.04,67.04,0
Bg_24,Bg,24,.,15.72,.,0.09,0.02,0.01,111.79,0
Bg_25,Bg,25,.,11.35,.,0.06,0.01,0.02,86.97,0
Bg_26,Bg,26,.,11.02,.,0.06,0.09,0.06,34.6,0
Bg_27,Bg,27,.,13.86,.,0.07,0.04,0.02,61.72,0.01
Bg_28,Bg,28,.,11.06,.,0.06,0.02,0.07,46.83,0
Bg_29,Bg,29,.,9,.,0,0.13,0.06,31.37,0.01
Bg_30,Bg,30,.,7.48,.,0.03,0.07,0.04,30.59,0.02
Bg_31,Bg,31,.,11.05,.,0.05,0.08,0.04,37.88,0
Bg_32,Bg,32,.,7.95,.,0.05,0.04,0.06,31.45,0.01
Bg_33,Bg,33,.,25.67,.,0.1,0.12,0.03,50.26,0.01
Bg_34,Bg,34,.,17.6,.,0.07,0.07,0.02,52.95,0.02
Bg_35,Bg,35,.,18.78,.,0.07,0.11,0.04,50.67,0.01
Bg_36,Bg,36,.,18.94,.,0.08,0.17,0.04,49.68,0.01
Bg_37,Bg,37,.,15.2,.,0.07,0.1,0.02,44.51,0.04
Bg_38,Bg,38,.,20.27,.,0.06,0.09,0.02,51.58,0.01
Bg_39,Bg,39,.,21.01,.,0.01,0.08,0.03,48.52,0.02
Bg_40,Bg,40,.,9.2,.,1.89,0.1,0.02,43.6,0
Bg_41,Bg,41,.,11.25,.,1.44,0.04,0.05,56.46,0
Bg_42,Bg,42,.,8.22,.,1.27,0.09,0.02,39.2,0.01
Bg_43,Bg,43,.,11.59,.,2.02,0.14,0.09,52.99,0.01
Bg_44,Bg,44,.,9.79,.,1.4,0.05,0.02,47.76,0
Bg_45,Bg,45,.,9.22,.,1.87,0.15,0.02,46.26,0
Bg_46,Bg,46,.,9.58,.,1.59,0.04,0.11,55.32,0
Bg_47,Bg,47,.,5.38,.,0.04,0.08,0.02,38.15,0.02
Bg_48,Bg,48,.,5.58,.,0.04,0.04,0.02,39.2,0.02
Bg_49,Bg,49,.,4.12,.,0.01,0.07,0.03,36.89,0
Bg_50,Bg,50,.,4.75,.,0.02,0,0.02,34.99,0
Bg_51,Bg,51,.,5,.,0.03,0.13,0.04,34.14,0.03
Bg_52,Bg,52,.,4.26,.,0.04,0.07,0.03,33.86,0
Bg_53,Bg,53,.,4.85,.,0.03,0.01,0.02,35.1,0.02
Bg_54,Bg,54,.,10.63,.,0.07,0.05,0.03,42.29,0
Bg_55,Bg,55,.,8.83,.,0.03,0.07,0.01,48.73,0
Bg_56,Bg,56,.,9.07,.,0.02,0.18,0.06,42.26,0
Bg_57,Bg,57,.,11.99,.,0.04,0.06,0.01,47.95,0
Bg_58,Bg,58,.,9.96,.,0.05,0.17,0.03,41.1,0
Bg_59,Bg,59,.,10.57,.,0.08,0.03,0.04,37.09,0.02
Bg_60,Bg,60,.,9.85,.,0.08,0.12,0.04,40.75,0
Bg_61,Bg,61,.,4.31,.,0.01,0.12,0.02,29.36,0.01
Bg_62,Bg,62,.,10.02,.,0.03,0.13,0.03,43.76,0.03
Bg_63,Bg,63,.,7.52,.,0.02,0.03,0.01,36.01,0
Bg_64,Bg,64,.,3.79,.,0,0.2,0.02,29.96,0
Bg_65,Bg,65,.,3.31,.,0.01,0.1,0.02,28.61,0.04
Bg_66,Bg,66,.,5.79,.,0.02,0.05,0.02,32.44,0
Bg_67,Bg,67,.,4.35,.,0.02,0.02,0.02,33.83,0.02
Bg_68,Bg,68,.,3.67,.,0.01,0.13,0.01,32.28,0.01
Bg_69,Bg,69,.,7.19,.,0.02,0.12,0.03,44.9,0.02
Bg_70,Bg,70,.,4.03,.,0.02,0.1,0.02,31.84,0
Bg_71,Bg,71,.,4.38,.,0.01,0.23,0.01,39.43,0
Bg_72,Bg,72,.,4.27,.,0.01,0.15,0.03,48.73,0.03
Bg_73,Bg,73,.,3.79,.,0.02,0.15,0.02,32.05,0
Bg_74,Bg,74,.,4.89,.,0.01,0.16,0.02,41.94,0.01
Bg_75,Bg,75,.,4.69,.,0.04,0.06,0.02,51.81,0.03
Bg_76,Bg,76,.,7.58,.,0.02,0.06,0.02,51.86,0.04
Bg_77,Bg,77,.,6.35,.,0.03,0.05,0.02,60.58,0.03
Bg_78,Bg,78,.,5.14,.,0.04,0.03,0.03,50.3,0.05
Bg_79,Bg,79,.,5.9,.,0.03,0.08,0.02,53.73,0.06
Bg_80,Bg,80,.,5.18,.,0.05,0.06,0.02,52.8,0.04
Bg_81,Bg,81,.,5.24,.,0.02,0.03,0.03,49.7,0.05
Bg_82,Bg,82,.,8.83,.,0,0.43,0,39.5,.
Bg_83,Bg,83,.,10.13,.,0.4,0.53,0,49.04,.
Bg_84,Bg,84,.,11.46,.,0.64,0.63,0,41.4,.
Bg_85,Bg,85,.,11.97,.,0.39,1.23,0,40.96,.
Bg_86,Bg,86,.,9.13,.,0.57,0.75,0,42.64,.
Bg_87,Bg,87,.,10.59,.,1.18,1.07,0,38.14,.
Bg_88,Bg,88,.,10.04,.,0.51,0.46,0,32,.
Bg_89,Bg,89,.,4.89,.,0.53,0.47,0,38.79,.
Bg_90,Bg,90,.,7.53,.,0.66,0.53,0,47.7,.
Bg_91,Bg,91,.,5.18,.,0.49,0.48,0,42.77,.
Bg_92,Bg,92,.,4.69,.,0.36,0.39,0,38.34,.
Bg_93,Bg,93,.,5.17,.,0,0.65,0,36.58,.
Bg_94,Bg,94,.,4.66,.,0.39,0.32,0,40.36,.
Bg_95,Bg,95,.,5.43,.,0.57,0.43,0,36.82,.
Bg_96,Bg,96,0.6253,8.28,.,0.34,0.2,0,47.56,.
Bg_97,Bg,97,0.4823,8.9,.,0,0.19,0,47.64,.
Bg_98,Bg,98,0.562,8.25,.,0,0,0,46.64,.
Bg_99,Bg,99,0.5585,9.01,.,0,0,0,48.85,.
Bg_100,Bg,100,0.6661,8.59,.,0,0,0,47.84,.
Bg_101,Bg,101,0.6472,8.29,.,0,0,0,51.26,.
Bg_102,Bg,102,0.5962,9.89,.,0,0,0,56.04,.
Bg_103,Bg,103,0.8206,9.344,0,0.1092,0.5079,0,50.121,
Bg_104,Bg,104,0.8317,15.1,0,0,0.1435,0,79.7273,
Bg_105,Bg,105,0.7498,9.242,0,0,0.041,0,57.4994,
Bg_106,Bg,106,0.7789,8.238,0,0,0.3063,0,49.268,
Bg_107,Bg,107,0.8226,6.888,0,0,0.2505,0,46.5638,
Bg_108,Bg,108,0.7693,8.987,0,0,0.4392,0,53.4407,
Bg_109,Bg,109,0.8064,8.619,0.3335,0.1249,0.2975,0.375,47.736,
Bg_110,Bg,110,1.486,16.123,0,0.0564,0.4312,0,40.6041,
Bg_111,Bg,111,1.4096,17.184,0,0.181,0.0458,0,58.4462,
Bg_112,Bg,112,1.2546,24.311,0,0.0101,0.2539,0,52.1431,
Bg_113,Bg,113,1.3288,12.468,0,0,0.4212,0,37.3029,
Bg_114,Bg,114,1.2451,9.54,0,0,6.9749,0,25.406,
Bg_115,Bg,115,1.4464,16.198,0,0.0304,0.3824,0,42.9795,
Bg_116,Bg,116,1.2815,15.745,0,0,0.232,0,38.0153,
Bg_117,Bg,117,0.3907,6.0239,0.3036,0,0.0789,0,42.1693,
Bg_118,Bg,118,0.4856,9.6679,0.2853,0.0646,0.3536,0.0524,54.3116,
Bg_119,Bg,119,0.4733,5.9288,0.2456,0,0.3703,0,44.1476,
Bg_120,Bg,120,0.2711,6.7555,0.1646,0,1.0983,0,40.6438,
Bg_121,Bg,121,0.3574,7.5435,0.165,0,1.0154,0,58.2455,
Bg_122,Bg,122,0.5134,6.4361,0,0.2281,0.1919,0,49.3024,
Bg_123,Bg,123,0.3859,6.6426,0.4201,0.2612,0.2917,0,39.4364,
Bg_124,Bg,124,0.5503,12.19,0.0624,0.779,1.8983,0.4359,77.83,
Bg_125,Bg,125,0.6384,11.52,0.1052,0.8498,1.7353,0.6592,71.68,
Bg_126,Bg,126,.,.,.,.,.,.,.,
Bg_127,Bg,127,0.5644,13.28,0,0.7289,2.2383,0.511,60.45,
Bg_128,Bg,128,0.6714,12.93,0,0.5468,1.0505,0,61.19,
Bg_129,Bg,129,0.5214,15.39,0,0.7453,1.5231,0.4381,90.34,
Bg_130,Bg,130,0.591,11.91,0,0.7485,1.3829,0.6979,56.74,
Bg_131,Bg,131,0.5303,10.473,0,0.373,0.693,0.4063,31.4071,
Bg_132,Bg,132,0.4578,11.445,0,0.3691,0.4357,0,43.9109,
Bg_133,Bg,133,0.5518,11.706,0,0.3645,0.9504,0.3409,26.0265,
Bg_134,Bg,134,0.4292,10.344,0,0.3491,1.2788,0.3764,30.5213,
Bg_135,Bg,135,0.486,11.014,0.5984,0.3576,0.3771,0,32.3408,
Bg_136,Bg,136,0.5225,10.674,0,0.3429,0.6704,0,33.6669,
Bg_137,Bg,137,0.6911,11.062,0,0.5832,1.0865,0,31.1978,
Bg_138,Bg,138,0.3038,12.721,1.3827,0.3623,0.682,0.384,50.6324,
Bg_139,Bg,139,0.3742,9.9,1.5132,0.7631,0.376,0,57.8342,
Bg_140,Bg,140,0.3308,6.938,1.5671,0.9891,0.7969,1.2275,51.4436,
Bg_141,Bg,141,0.2939,6.333,1.4067,0.6638,0.9627,0,49.8502,
Bg_142,Bg,142,0.2767,5.553,0,1.5048,0,0,50.9956,
Bg_143,Bg,143,.,.,.,.,.,.,.,
Bg_144,Bg,144,0.2888,6.492,1.5493,0.7884,0.6269,0.3151,51.804,
Bl_1,Bl,1,.,36.5,.,0.2,0.02,0.02,145.5,0.17
Bl_2,Bl,2,.,28.52,.,0.13,0.13,0.15,105.41,0.04
Bl_3,Bl,3,.,109.45,.,0.18,0.01,0.12,305.52,0.23
Bl_4,Bl,4,.,18.18,.,0.15,0.02,0.13,54.21,0.03
Bl_5,Bl,5,.,21.58,.,0.09,0.63,0.32,57.31,0.04
Bl_6,Bl,6,.,135.04,.,0.38,0.02,0.02,415.39,0.2
Bl_7,Bl,7,.,26.66,.,0.11,0.02,0.15,89.55,0.1
Bl_8,Bl,8,.,65.89,.,0.15,0.01,0,215.13,0.11
Bl_9,Bl,9,.,27.11,.,0.1,0.13,0.15,91.38,0.11
Bl_10,Bl,10,.,61.01,.,0.14,0.03,0,192.8,0.08
Bl_11,Bl,11,.,37.08,.,0.14,0.02,0.01,151.37,0.03
Bl_12,Bl,12,.,26.07,.,0.1,0.68,0.42,55.41,0.02
Bl_13,Bl,13,.,49.82,.,0.15,0.02,0.01,135.53,0.08
Bl_14,Bl,14,.,40.76,.,0.11,0.02,0.02,153.84,0.08
Bl_15,Bl,15,.,25.68,.,0.12,0.12,0.17,102.99,0.05
Bl_16,Bl,16,.,56.04,.,0.22,0.01,0.07,175.55,0.13
Bl_17,Bl,17,.,75.06,.,0.24,0.01,0.03,202.23,0.16
Bl_18,Bl,18,.,51.1,.,0.18,0.01,0.05,144.25,0.04
Bl_19,Bl,19,.,15.95,.,0.06,0.69,0.28,52.48,0.02
Bl_20,Bl,20,.,40.47,.,0.16,0.01,0.04,119.97,0.12
Bl_21,Bl,21,.,65.06,.,0.25,0.01,0.04,197.78,0.17
Bl_22,Bl,22,.,53.84,.,0.17,0.01,0.07,154.84,0.08
Bl_23,Bl,23,.,25.58,.,0.12,0.18,0.14,84.42,0.06
Bl_24,Bl,24,.,133.48,.,0.4,0.01,0,453.45,0.17
Bl_25,Bl,25,.,58.93,.,0.16,0.01,0.01,148.16,0.09
Bl_26,Bl,26,.,40.67,.,0.09,0.7,0.12,109.34,0.19
Bl_27,Bl,27,.,46.02,.,0.17,0.02,0.05,132.63,0.03
Bl_28,Bl,28,.,48.99,.,0.18,0.01,0.04,166.75,0.07
Bl_29,Bl,29,.,8.67,.,0.18,0.01,0.02,28.37,0.08
Bl_30,Bl,30,.,29.37,.,0.13,0.1,0,97.49,0.03
Bl_31,Bl,31,.,26.36,.,0.23,0.02,4.43,80.96,0.14
Bl_32,Bl,32,.,15.59,.,0.16,0.02,0,42.58,0.05
Bl_33,Bl,33,.,17.82,.,0.09,0.36,0.22,45.66,0.06
Bl_34,Bl,34,.,14.95,.,0.22,0.01,0.03,41.25,0.09
Bl_35,Bl,35,.,9.08,.,0.17,0.02,0.11,28.17,0.07
Bl_36,Bl,36,.,54.68,.,0.22,0.04,0.01,160.75,0.11
Bl_37,Bl,37,.,26.57,.,0.11,0.09,0.13,87.52,0.04
Bl_38,Bl,38,.,58.76,.,0.16,0.04,0,177.16,0.05
Bl_39,Bl,39,.,27.75,.,0.24,0.04,0.01,70.92,0.04
Bl_40,Bl,40,.,21.96,.,0.07,0.4,0.22,47.57,0.02
Bl_41,Bl,41,.,59.38,.,0.24,0.02,0.01,161.3,0.13
Bl_42,Bl,42,.,44.75,.,0.14,0.03,0.05,147.98,0.06
Bl_43,Bl,43,.,39.57,.,0.15,0.07,0.21,144.76,0.03
Bl_44,Bl,44,.,29.94,.,0.16,0.16,0.16,118.86,0.01
Bl_45,Bl,45,.,76.79,.,0.24,0.04,0.01,238.35,0.04
Bl_46,Bl,46,.,38.3,.,0.15,0.07,0.2,131.27,0
Bl_47,Bl,47,.,21.82,.,0.07,0.53,0.42,57.84,0
Bl_48,Bl,48,.,40.44,.,0.19,0.04,0.12,144.92,0.02
Bl_49,Bl,49,.,49.77,.,0.16,0.02,0.04,182.17,0.02
Bl_50,Bl,50,.,109.04,.,0.46,0.05,0.01,290.43,0.37
Bl_51,Bl,51,.,28.76,.,0.12,0.2,0.48,115.42,0.01
Bl_52,Bl,52,.,27.1,.,0.18,0.06,0.05,76.46,0.13
Bl_53,Bl,53,.,67.42,.,0.22,0.03,0.03,198.06,0.09
Bl_54,Bl,54,.,16.95,.,0.05,0.76,0.38,46.72,0.02
Bl_55,Bl,55,.,33.32,.,0.18,0.09,0.15,114.69,0.25
Bl_56,Bl,56,.,48.28,.,0.23,0.02,0.1,171.52,0.22
Bl_57,Bl,57,.,58,.,0.26,0.03,0.07,198.78,0.21
Bl_58,Bl,58,.,24.82,.,0.12,0.16,0.03,97.44,0.01
Bl_59,Bl,59,.,68.6,.,0.23,0.07,0,175.46,0.2
Bl_60,Bl,60,.,52.57,.,0.19,0.04,0.09,166.15,0.05
Bl_61,Bl,61,.,21.92,.,0.04,0.96,0.33,55.52,0
Bl_62,Bl,62,.,48.04,.,0.22,0.05,0.06,178.29,0.32
Bl_63,Bl,63,.,40.23,.,0.17,0.03,0.09,143.77,0.19
Bl_64,Bl,64,.,31.65,.,0.49,1.28,0,134.29,.
Bl_65,Bl,65,.,31.73,.,0.44,2.03,1.12,118.04,.
Bl_66,Bl,66,.,77.58,.,0.64,0.4,0,290.09,.
Bl_67,Bl,67,.,42.58,.,0.61,0.56,0,162.73,.
Bl_68,Bl,68,.,24.3,.,0.58,2.55,1.27,67.03,.
Bl_69,Bl,69,.,57.01,.,0.56,0.34,0,251.06,.
Bl_70,Bl,70,.,24.89,.,0.54,0.53,0,105.15,.
Bl_71,Bl,71,.,33.24,.,0.46,0.34,0,160.56,.
Bl_72,Bl,72,.,23.42,.,0.54,1.79,0,112.7,.
Bl_73,Bl,73,.,48.43,.,0.55,0.38,0,161.31,.
Bl_74,Bl,74,.,24.88,.,1.02,1.23,1.19,108.03,.
Bl_75,Bl,75,.,17.72,.,0.38,2.53,1.05,51.58,.
Bl_76,Bl,76,.,29.93,.,0.44,0.5,0,138.7,.
Bl_77,Bl,77,.,24.77,.,0.45,0.32,0,110.19,.
Bl_78,Bl,78,0.8239,28.96,.,0.41,0,0.75,128.37,.
Bl_79,Bl,79,1.1638,41.81,.,0.53,0,0,124.26,.
Bl_80,Bl,80,0.8559,28.62,.,0.52,0,0.78,120.06,.
Bl_81,Bl,81,0.6389,57.07,.,0.45,0,0,245.63,.
Bl_82,Bl,82,0.8109,37.54,.,0.45,0,0,152.42,.
Bl_83,Bl,83,0.9014,22.16,.,0.42,2.72,0,66.52,.
Bl_84,Bl,84,0.7533,30.11,.,0.4,0,0,125.73,.
Bl_85,Bl,85,0.9351,32.231,0,0.394,1.2193,0.5876,122.87,
Bl_86,Bl,86,0.8967,39.194,0,0.3224,0.1513,0,135.08,
Bl_87,Bl,87,0.8796,51.176,0,0.445,0.2625,0,203.84,
Bl_88,Bl,88,0.9879,24.495,0,0.1936,3.8643,0.7831,69.51,
Bl_89,Bl,89,0.9418,183.829,0,0.9227,0.8428,0,76.79,
Bl_90,Bl,90,0.8521,59.323,0,0.4907,0.5872,0.5122,225.15,
Bl_91,Bl,91,1.502,20.297,0,0,0.4188,0,70.2425,
Bl_92,Bl,92,1.6434,57.677,0,0.2126,0,0,0,
Bl_93,Bl,93,1.2375,50.777,0.1357,0,0,0,0,
Bl_94,Bl,94,1.2793,15.349,0,0,1.2019,0.7476,43.58,
Bl_95,Bl,95,1.7338,100.147,0,0.3584,0,0,39.8861,
Bl_96,Bl,96,1.5395,42.06,0,0.145,0,0.8136,0,
Bl_97,Bl,97,0.54,20.77,0,0.55,1.54,0.92,87.15,
Bl_98,Bl,98,0.3,59.21,0,0.17,0.08,0,149.04,
Bl_99,Bl,99,0.37,122.51,0,0.29,0.09,0,323.75,
Bl_100,Bl,100,0.42,15.66,0,0,2.28,0.51,51.62,
Bl_101,Bl,101,0.37,34.01,0,0.15,0.09,0,174.11,
Bl_102,Bl,102,0.54,36.87,0,0.38,0.26,0.2,171.93,
Bl_103,Bl,103,0.9174,31.57,0.3805,0.9462,1.9772,0.7852,129.0582,
Bl_104,Bl,104,0.6831,55.94,0,0.7281,0.8399,0,219.1262,
Bl_105,Bl,105,0,79.73,0,0.8312,0.8487,0,301.7373,
Bl_106,Bl,106,0.8495,28.45,0,0.8996,4.3338,1.4609,81.067,
Bl_107,Bl,107,0,81.316,0,0.8247,0.858,0,367.3562,
Bl_108,Bl,108,0.6749,58.117,0,0.726,0.8109,0.1632,249.4406,
Bl_109,Bl,109,0.9014,24.642,1.3285,0.1901,2.0564,0.744,87.4197,
Bl_110,Bl,110,1.0137,52.769,0,0.2235,1.7756,0,189.2367,
Bl_111,Bl,111,0.8263,74.4,0,0.4069,1.4191,0,266,
Bl_112,Bl,112,0.8659,21.81,1.4438,0.3525,2.4026,0.8251,42.7136,
Bl_113,Bl,113,0.9347,93.218,0,0.372,2.0081,0.5338,323.1889,
Bl_114,Bl,114,0.9823,43.818,0,0.456,1.7541,0.6712,162.5958,
Bl_115,Bl,115,0.5223,24.254,1.6303,1.2292,1.0837,0,126.909,
Bl_116,Bl,116,0.328,89.96,0,0.7938,0.0929,0,251.7602,
Bl_117,Bl,117,0.2054,78.517,0,0.3249,0,0,203.5271,
Bl_118,Bl,118,0.17,25.192,0,0.2254,1.185,0.6414,66.1444,
Bl_119,Bl,119,0.3087,218.641,0,2.133,0.4104,0,678.2204,
Bl_120,Bl,120,0.2104,87.392,0,0.3983,0.023,0,264.0633,
Bp_1,Bp,1,.,38.38,.,0.29,0.02,0.02,138.21,0.06
Bp_2,Bp,2,.,18.46,.,0.14,0.02,0.04,86.1,0.03
Bp_3,Bp,3,.,23.1,.,0.22,0.02,0.06,127.93,0.05
Bp_4,Bp,4,.,14.66,.,0.05,0.02,0.04,98.61,0.06
Bp_5,Bp,5,.,28.42,.,0.28,0.01,0.01,107.85,0.04
Bp_6,Bp,6,.,25.76,.,0.2,0.04,0.43,100.61,0.01
Bp_7,Bp,7,.,11.19,.,0.11,0.03,0.1,55.17,0
Bp_8,Bp,8,.,39.64,.,0.29,0.03,0.09,160.87,0.01
Bp_9,Bp,9,.,16.99,.,0.15,0.03,0.09,62.82,0.04
Bp_10,Bp,10,.,21.11,.,0.19,0.02,0.01,84.29,0.01
Bp_11,Bp,11,.,24.04,.,0.25,0.03,0.03,87.62,0.12
Bp_12,Bp,12,.,10.11,.,0.1,0.03,0.06,67.39,0.06
Bp_13,Bp,13,.,45.98,.,0.47,0.02,0.04,116.47,0.11
Bp_14,Bp,14,.,7.92,.,0.1,0.09,0.06,72.31,0.31
Bp_15,Bp,15,.,26.7,.,0.23,0.03,0.02,93.56,0.23
Bp_16,Bp,16,.,12.32,.,0.17,0.05,0.06,50.77,0.08
Bp_17,Bp,17,.,7.51,.,0.06,0.07,0.07,53.6,0.02
Bp_18,Bp,18,.,22.41,.,0.17,0.11,0.07,64.65,0.05
Bp_19,Bp,19,.,9.02,.,0.13,0.05,0.04,37.34,0.35
Bp_20,Bp,20,.,13.32,.,0.09,0.04,0.02,45.22,0.23
Bp_21,Bp,21,.,18.96,.,0.12,0.11,0.03,66.25,0.07
Bp_22,Bp,22,.,13.66,.,0.03,0.04,0.02,54.97,0.03
Bp_23,Bp,23,.,14.31,.,0.09,0.08,0.04,36.13,0.05
Bp_24,Bp,24,.,15.25,.,0.04,0.03,0.01,70.12,0.21
Bp_25,Bp,25,.,18.82,.,0.1,0.06,0.01,62.94,0.13
Bp_26,Bp,26,.,17.07,.,0.06,0.03,0.01,72.88,0.1
Bp_27,Bp,27,.,13.76,.,0.04,0.03,0.02,55.69,0.03
Bp_28,Bp,28,.,16.47,.,0.09,0.06,0.05,38.7,0.06
Bp_29,Bp,29,.,14.69,.,0.03,0.03,0.03,67.77,0.25
Bp_30,Bp,30,.,19.86,.,0.14,0.04,0.01,67.63,0.18
Bp_31,Bp,31,.,17.25,.,0.14,0.03,0.03,62.59,0.09
Bp_32,Bp,32,.,13.37,.,0.06,0.08,0.05,52.14,0.02
Bp_33,Bp,33,.,17.48,.,0.28,0.06,0.07,35.25,0.09
Bp_34,Bp,34,.,13.81,.,0.05,0.07,0.02,61.43,0.2
Bp_35,Bp,35,.,22.18,.,0.11,0.05,0,71.1,0.2
Bp_36,Bp,36,.,17.51,.,0.81,0.89,0,48.33,.
Bp_37,Bp,37,.,11.04,.,0.6,0.57,0,53.86,.
